TransitId;DeviceName;Plate;Date;Time
2198086750;M30PK24.700C EXT C2;5831KFL;30/01/2025;21:59:59.849
2198086239;M30PK24.700C EXT C2;0078LVR;30/01/2025;21:59:47.450
2198085731;M30PK24.700C EXT C2;9737KDM;30/01/2025;21:59:36.001
2198084980;M30PK24.700C EXT C2;6086LJK;30/01/2025;21:59:18.429
2198084962;M30PK24.700C EXT C2;5049LTV;30/01/2025;21:59:18.207
2198084949;M30PK24.700C EXT C2;1610MDN;30/01/2025;21:59:17.678
2198084643;M30PK24.700C EXT C2;1804LCF;30/01/2025;21:59:11.005
2198083992;M30PK24.700C EXT C2;1854MWF;30/01/2025;21:58:56.180
2198083488;M30PK24.700C EXT C2;6413CNZ;30/01/2025;21:58:44.406
2198083210;M30PK24.700C EXT C2;2566MBZ;30/01/2025;21:58:38.382
2198082970;M30PK24.700C EXT C2;8833MWD;30/01/2025;21:58:32.983
2198082905;M30PK24.700C EXT C2;9975HKX;30/01/2025;21:58:30.532
2198082678;M30PK24.700C EXT C2;1704FVR;30/01/2025;21:58:26.633
2198082485;M30PK24.700C EXT C2;8089HTN;30/01/2025;21:58:21.759
2198082271;M30PK24.700C EXT C2;2947CTW;30/01/2025;21:58:16.059
2198082004;M30PK24.700C EXT C2;8885MPL;30/01/2025;21:58:10.284
2198081513;M30PK24.700C EXT C2;9087FNP;30/01/2025;21:57:57.685
2198081270;M30PK24.700C EXT C2;5469GPV;30/01/2025;21:57:52.811
2198081232;M30PK24.700C EXT C2;0178CMW;30/01/2025;21:57:52.036
2198081160;M30PK24.700C EXT C2;2946MSJ;30/01/2025;21:57:51.012
2198080727;M30PK24.700C EXT C2;8520MDR;30/01/2025;21:57:41.762
2198080324;M30PK24.700C EXT C2;2048MHM;30/01/2025;21:57:32.114
2198080271;M30PK24.700C EXT C2;6387KMG;30/01/2025;21:57:30.519
2198080160;M30PK24.700C EXT C2;6413MLT;30/01/2025;21:57:28.338
2198080083;M30PK24.700C EXT C2;0814LYD;30/01/2025;21:57:26.763
2198079795;M30PK24.700C EXT C2;0085HTC;30/01/2025;21:57:20.789
